title,categoryName,website,street,phone,city,state,location/lat,location/lng,totalScore,rank,imageUrl,imagesCount,reviewsCount,scrapedAt,searchString
Vazzano Remates,Tienda de muebles,https://www.facebook.com/rematesvazzano,Av. Urquiza 1850,+54 2284 44-4646,Olavarría,Provincia de Buenos Aires,-36.9083707,-60.3202103,4.4,1,https://lh3.googleusercontent.com/p/AF1QipO6OXJsCgDHI1mN1OvJjrQdgZGtc05oSTVfnLGq=w408-h389-k-no,42.0,145,2025-06-11T18:13:55.853Z,venta online
Sweet Ness S.a.,Comercio,,Av. Urquiza 1746,,Olavarría,Provincia de Buenos Aires,-36.9087059,-60.3212662,4.6,2,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KbbcDBZhb4DfzhhV_3D-lw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=307.6568&pitch=0&thumbfov=100,1.0,10,2025-06-11T18:13:55.855Z,venta online
Telemundo,Tienda de móviles,,Necochea 2893,+54 2284 41-7777,Olavarría,Provincia de Buenos Aires,-36.892333,-60.319047,4.5,3,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrBHHz23Qrtr-Enq5KtGaZ2K7Wu3yMWRQfDyeETt7nbcRszouWNB9JcTiS6oMVnyjegn3qmQQbgUaNLqQLwK6E3U4AEo0CBNg_i0JMeL-8yRHqldP2ywCWOJbhS5JB7nNQ7N3I=w408-h544-k-no,3.0,20,2025-06-11T18:13:55.855Z,venta online
Tienda Online Olavarria,,https://sites.google.com/view/tiendaonlineolavarria/click-ac%C3%A1,Antártida Argentina 606,+54 2284 68-2953,Olavarría,Provincia de Buenos Aires,-36.9216721,-60.3252263,,4,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-6h2QDHryQH3k3hm5fcGYQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=177.16779&pitch=0&thumbfov=100,1.0,0,2025-06-11T18:13:55.855Z,venta online
AS Estufas Olavarría,Tienda de estufas de leña,,Av. Avellaneda 3043,+54 2284 41-1312,IDH,Provincia de Buenos Aires,-36.9073266,-60.3353933,4.6,5,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFDh5nLlw-CUkpkkMKnurw07Iv3aY6bl1fgM-1BaiBTk0_Ly4JhLYTQ2_rqUkayg4TX9eK8aivX-vPovsobr2HHi4PsFe9ELHaC0CfuaJ0nNUS8fnOluQeIUaoqwSPG1qhXFjk2nrcsYbGkBFA-NO-qipkyOj5qi6WQjqGEU04zj3CgzLyJM3EsRgYDo7zsvZNBng=w408-h306-k-no,20.0,14,2025-06-11T18:13:55.855Z,venta online
Todo Cuotas S.A.,Tienda de electrónica,,Lamadrid 2231,+54 2284 42-8105,CZY,Provincia de Buenos Aires,-36.898768,-60.3255093,4.6,6,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFnoHfF08b5XJ2UfmA3JlNtzK2f5J3JPMGIPDvLT0KSMiyDCsTieBccqaVbl5JXcIQQ2lLJmnx4a4UexHHF1cOV2eoTZLzrl7SdtC8Zp3mGovLTHCNaxL79Q7baYy5RlH-CsHKLIqaIzIU3yGTAdG4VWQAla1q56V9gaFtI07pTa1ufqYNJurLFKy_KNrFaQfeujYI=w408-h306-k-no,4.0,9,2025-06-11T18:13:55.855Z,venta online
Lanas Electra,Mercería,,"Av. del Valle 4025, B7400JVE",,Olavarría,Provincia de Buenos Aires,-36.9060223,-60.3166875,4.8,7,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrZigSPVf3vXBEq3x7F2iGOjidePJEK5pCAIRLK0Cc_BRH7KY3KBVtzNVreeHmgB7wErPohKTieYsLDT0zB2bZj2jlLc5Pm3v8cZO57aZFgMmXhGG_gf7dNNadOMUdAsyR0K_F9=w426-h240-k-no,6.0,30,2025-06-11T18:13:55.856Z,venta online
OLANET I Tecno.Gaming.Hogar,Tienda de informática,,"Av Pringles 3409, Av. Colón y",+54 2284 41-4600,Olavarría,Provincia de Buenos Aires,-36.8936261,-60.312356,4.4,8,https://lh3.googleusercontent.com/p/AF1QipPZA2Dej9zxUg3f7KdiG9v2g72wRKkVeTh4XS-s=w408-h408-k-no,218.0,462,2025-06-11T18:13:55.856Z,venta online
"""pino Olavarría""",Tienda de muebles,,Av. Pellegrini 2315,+54 2284 52-8426,Olavarría,Provincia de Buenos Aires,-36.9092911,-60.3111089,4.4,9,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqLEv3eZhI8RM6qr4WDFsKdRBblBg2KKlrU5Qvr3UcQZ1fNrvRIfBQfbLvA949l9Rx0gv9OUCsd2cknjtqIW0eVQO6SJGwuCBMm4WW8cgqwHc8nc9UWMWdnUJwnxNCwwSR8LAf1DA=w408-h306-k-no,20.0,5,2025-06-11T18:13:55.856Z,venta online
185 Motos-ATV,Concesionario de motos,http://www.facebook.com/185motos,Rivadavia 1940,+54 2284 41-6686,Olavarría,Provincia de Buenos Aires,-36.899603,-60.3294908,4.6,10,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGqVcgx6k3lIgIrqZjf-ukP-uKkrlp97Y7NIfI2aNyzn46SzeFIJsLXxpQ-yRFx0PTQCGCDyB8B_DTgl8XytuvAlTpMNyo1QHkQFeqgoQgHuk25Bc-MkCR2F6gpQM8XQrLQwKSjw83dIT3QkPg-FshdoU2OoiN6KoxqwCe-c1KTZKMQJTkNwLEJTA48o0DnqaMpv1g=w408-h306-k-no,4.0,33,2025-06-11T18:13:55.857Z,venta online
Pinomar,Tienda de artículos para el hogar,,Av. Avellaneda 3885,+54 2284 42-5910,Olavarría,Provincia de Buenos Aires,-36.9130347,-60.3284948,4.6,11,https://lh3.googleusercontent.com/p/AF1QipNgFNN2zkEHZy60rrupCE8s9jXTBSUEhzqI1QG_=w426-h240-k-no,13.0,41,2025-06-11T18:13:55.857Z,venta online
OLAVARRIA.COM - Vta de Insumos de Pc - Serv Tecnico Informatico,Tienda de informática,http://www.olavarria.com/,25 de Mayo 3335,+54 2284 58-4626,Olavarría,Provincia de Buenos Aires,-36.8929583,-60.3144696,4.6,12,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SYl88EL4BUcjJqDNEMb6OQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=150.45769&pitch=0&thumbfov=100,1.0,26,2025-06-11T18:13:55.857Z,venta online
Textil Rivadavia,Tienda de telas,,Rivadavia 3042,,Olavarría,Provincia de Buenos Aires,-36.8923628,-60.3201831,3.9,13,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noI4CwI2zyfOr4vwHBJAToj49_q39KWW-H6u9FdiRIXhg_UMnzfd67q12vqv0_RNrvOP6uJDG-7XeMLzf3d_hvw3oMH2k7uiSiu-4aNEx-U2QmFTQhiWm-A3y78rCAtDR0nCu5FTg=w408-h306-k-no,7.0,7,2025-06-11T18:13:55.857Z,venta online
