title,categoryName,website,street,phone,city,state,location/lat,location/lng,totalScore,rank,imageUrl,imagesCount,reviewsCount,scrapedAt,searchString
Alto Salame Olavarria,Tienda de alimentación,,Av. Domingo Faustino Sarmiento 2130,+54 2284 62-2206,Olavarría,Provincia de Buenos Aires,-36.8814092,-60.3179388,,20,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9lp0kzDOI3g9eW789Du4mA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=231.19724&pitch=0&thumbfov=100,1.0,0,2025-06-15T23:31:30.165Z,comercio
"Frutería y Verdulería ""El Nuevo Galpón""",Frutería,,Av. de los Trabajadores 4312,+54 9 2284 35-5136,Olavarría,Provincia de Buenos Aires,-36.8921936,-60.2947181,4.5,19,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noz8L_P6lNa3G3m4wgSVd5Yhbjax-zY0o8si62g6Jq4yjgZbyq-f4UnVsmZTg8X8kecx9LM9E_05-OzXG3_pCNnqv5hp5NozmEdKiuj7t-mZF3JUd7UHn3OqJ5UITqxzKP3zsH0nQ=w408-h544-k-no,18.0,15,2025-06-15T23:31:30.165Z,comercio
Despensa Bauti,Tienda de alimentación,,Cerrito 4300,+54 9 2284 23-8406,Olavarría,Provincia de Buenos Aires,-36.8794795,-60.3147907,,18,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGGpPvlkGeCTNGDfuILRPXGEM9AJ_dB7ZmvcwSnRqhzKc9OxDgfPcdxcsDu-VZtQLyrHVsL6pUks1xIqOVzR-RGlsuOqBPt4pB2zbQnqpGqbtBAg6YSL3sufAVUona6KYaDEyvKxpHCOoGMNCTv9SQ10br1-MUDJil1CEXn-Q5ueGHkhMkg286F1rxUEcHFEwmDTsI=w408-h306-k-no,4.0,0,2025-06-15T23:31:30.165Z,comercio
Toxica,Tienda de ropa de mujer,,Necochea 2757,,Olavarría,Provincia de Buenos Aires,-36.8914707,-60.3201646,5.0,66,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqRMcc0uCrXaPNiV4O9mj4eE5fx3FeHZV-6CCN8gVGcXULrvLPFkv3zyvxi0k5KvtL6VnZdEjiWWWS5NV5GpV-BD5vD63dNZrunefwO72HyT7o7Kb83bCsnhv7KqkSTTyjSJT0pXQ=w426-h240-k-no,2.0,1,2025-06-15T23:31:33.614Z,comercio
"Kiosco ""El Quijote""",Quiosco,,Lavalle 2880,,Olavarría,Provincia de Buenos Aires,-36.8913305,-60.3240351,5.0,65,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nu5K4llAxXX4vBr7M0bHfw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=132.77924&pitch=0&thumbfov=100,1.0,2,2025-06-15T23:31:33.614Z,comercio
Despensa Norita,Tienda de alimentación,,Av. de los Trabajadores 2490,,Olavarría,Provincia de Buenos Aires,-36.8797952,-60.3099481,,64,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_-dJsX__Km18gcCnNqOUOQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=223.04802&pitch=0&thumbfov=100,1.0,0,2025-06-15T23:31:33.614Z,comercio
Pet Shop San Huberto,Tienda de alimentación,,Av. Ituzaingó 2935,+54 2284 55-2536,Olavarría,Provincia de Buenos Aires,-36.8848715,-60.3314511,4.4,63,https://lh3.googleusercontent.com/gps-cs-s/AC9h4notTx2Q8cQZqZU-9m6tEjxDCiOgYqDe8_dYGVqUR0jWr9h7noTZvyBlrRvIJSzqghohlOOOdWODVGN-W05BBc_bIt2MCwMpmXR1Tkv8zlzGMnaYP8FVIkePKqaSxzg5XARsVPBLZQ=w426-h240-k-no,10.0,20,2025-06-15T23:31:33.614Z,comercio
Art&Maña,Tienda de manualidades y bellas artes,https://www.facebook.com/Artma%C3%B1a-192416934113880/,Rivadavia 3346,+54 2284 41-0198,CUV,Provincia de Buenos Aires,-36.8902338,-60.3176495,4.8,62,https://lh3.googleusercontent.com/p/AF1QipPyQF-sJcS3AMES3HPJQ4-VwDssTBtHgrfAZBNL=w427-h240-k-no,35.0,113,2025-06-15T23:31:33.614Z,comercio
Autoservicio El Zonda,Supermercado,,Maipú 3652,,Olavarría,Provincia de Buenos Aires,-36.8835076,-60.3208665,4.5,61,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npqx45ZNQFP9yAkCfC6Mx0jZ1cUS6sit_WbbOasTYRVJbPiRQmW7cL7e5c4N-HdeoiMlBGtYkprhn5VAAgakQYPFhZleAyCcx2_xRwBwRDbpafm2yLZZaTU2i6iHYhExcnLmLIk=w408-h306-k-no,9.0,45,2025-06-15T23:31:33.614Z,comercio
Amarilis Feria,Tienda de ropa,,Av. Alberdi 4156,,Olavarría,Provincia de Buenos Aires,-36.872542,-60.3258372,,60,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IzwmcITPHtbm32bRDDs1hA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=225.6072&pitch=0&thumbfov=100,1.0,0,2025-06-15T23:31:32.616Z,comercio
