title,categoryName,website,street,phone,city,state,location/lat,location/lng,totalScore,rank,imageUrl,imagesCount,reviewsCount,scrapedAt,searchString
Vitalia Computación,Tienda de informática,,Quintana 595,+54 249 420-7361,Tandil,Provincia de Buenos Aires,-37.3073852,-59.1425898,4.3,17,https://lh3.googleusercontent.com/p/AF1QipMwwDzlldfBVhK2DZaRKRE-0AQj77OmuiPdsh3Q=w408-h408-k-no,9.0,24,2025-05-28T23:34:37.831Z,electronica
"JCD Julio Cesar Díaz , Fotografía, Electrónica , Gráfica general",Fotógrafo,http://juliocesardiaz.ph/instagram,Panamá 351,+54 249 451-0029,Tandil,Provincia de Buenos Aires,-37.3241253,-59.1145649,4.0,16,https://lh3.googleusercontent.com/p/AF1QipMGUdxyFPlVGJzyt6QVUysMDDfvAzwbwxskVl42=w408-h408-k-no,39.0,21,2025-05-28T23:34:37.831Z,electronica
Taller de TV y Electronica LeoTV,Establecimiento de reparación de artículos electrónicos,http://www.serviceleotv.com.ar/,Gral. Rodríguez 1260,+54 249 452-1111,Tandil,Provincia de Buenos Aires,-37.3186317,-59.14147,4.1,11,https://lh3.googleusercontent.com/p/AF1QipOoRMWaPno7DJv_NGYWFgETQFAOHH5v_VSDmFq9=w408-h306-k-no,28.0,79,2025-05-28T23:34:37.831Z,electronica
Zangar Electrónica Sistemas de Seguridad Hogar y Automotor Automatización de Portones,,http://www.zangarelectronica.com.ar/,14 de Julio 770,+54 249 442-6636,Tandil,Provincia de Buenos Aires,-37.3259707,-59.1419259,4.1,9,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrP3ou0ztCfN0VkIhK_4BqY4ELIU1vJBTSrff2e4ZY_BfgX2O4JebYSQXBMUaDiDTCIdY98ngih1WUFsXjKQTr0jIiH1qq4j5T3eeSvK2nHX4t8ObN-Vy_BxnqclAxBSE3cLSEV=w426-h240-k-no,15.0,44,2025-05-28T23:34:37.827Z,electronica
supercell,Tienda de electrónica,,Av. Perón,,Tandil,Provincia de Buenos Aires,-37.321193,-59.1499517,5.0,20,,,1,2025-05-28T23:34:37.251Z,electronica
Tiendas T,Tienda de herramientas,,Sarmiento 625,+54 249 462-3496,Tandil,Provincia de Buenos Aires,-37.3250748,-59.1369568,3.8,19,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq5bJ3NTN6iQaMMNkN04DPMR_6ZYwZyWRProCTvSKbcY3B6eGOzMATV1OQjTlO09pyjO_G3XQ0419WvAfWkRzFIleEsNqDz7kIJsIMHyJSm-flSF-E-QycajqrAdb6POarmPcWIIw=w425-h240-k-no,3.0,40,2025-05-28T23:34:37.251Z,electronica
Satevis IT,Servicio de informática,,Montiel 547,+54 11 3606-8986,Tandil,Provincia de Buenos Aires,-37.3218831,-59.1229452,5.0,18,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hSPkUZpCSnRgg8HbTEwfIA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=2.5591533&pitch=0&thumbfov=100,1.0,1,2025-05-28T23:34:37.251Z,electronica
Otero Tandil,Tienda de electrónica,https://www.otero.com.ar/,Gral. Rodríguez 705,+54 249 442-9196,Tandil,Provincia de Buenos Aires,-37.3250197,-59.1372743,4.3,12,https://lh3.googleusercontent.com/p/AF1QipNipXT9LenHidQjy4CF_EPZ1TTjdR_7sinLPlCa=w408-h271-k-no,13.0,121,2025-05-28T23:34:37.831Z,electronica
All System,Establecimiento de reparación de artículos electrónicos,https://www.allsystemtandil.com.ar/,San Lorenzo 598,+54 249 438-0761,Tandil,Provincia de Buenos Aires,-37.3286699,-59.14215,4.2,16,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noEOKyf3frao0ju4-nr_02owGNdakzsMF_WREZelTiLCEthqxbs4PYSrOgqSfPRkBT93A-awoHzUuaxOZNSzWX3kNLQsU_aUCcBS2YsXtK8hKdkcEuTLsL8dcp7YvfreYPJOVWtCw=w408-h544-k-no,11.0,52,2025-05-28T23:34:37.251Z,electronica
Nueva Vista 360° Seguridad Electronica,Proveedor de sistemas de seguridad,,Constitución 646,+54 9 249 460-9375,Tandil,Provincia de Buenos Aires,-37.3321258,-59.1325507,5.0,15,https://lh3.googleusercontent.com/p/AF1QipNEwXD2p38AwnQQY3WswZq1tICcnD_krm17kEKJ=w408-h306-k-no,100.0,2,2025-05-28T23:34:37.251Z,electronica
Compu Tandil,Tienda de electrónica,,San Martín 1001,+54 249 465-7856,Tandil,Provincia de Buenos Aires,-37.3240545,-59.1305023,1.0,14,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rhHPemBM31sX7z7WrqjHSg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=119.31743&pitch=0&thumbfov=100,1.0,3,2025-05-28T23:34:37.251Z,electronica
Lucaioli,Tienda de electrónica,,Gral. Rodríguez 677,,Tandil,Provincia de Buenos Aires,-37.3254221,-59.1371266,5.0,13,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fw-FZNBCUc9Em2V4xpE8hQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=40.263706&pitch=0&thumbfov=100,1.0,2,2025-05-28T23:34:37.251Z,electronica
