title,categoryName,website,street,phone,city,state,location/lat,location/lng,totalScore,rank,imageUrl,imagesCount,reviewsCount,scrapedAt,searchString
Electronica Montiel,Taller mecánico,,Colectora Nte. L. M. Macaya 1055,+54 249 434-0599,Tandil,Provincia de Buenos Aires,-37.3109357,-59.1141562,4.8,1,https://lh3.googleusercontent.com/p/AF1QipNzIILmNGbBeNa03WpiQB40hARvMfOQRudklYCh=w408-h328-k-no,25.0,24,2025-05-28T23:28:48.648Z,"electronica, tienda"
Roqui Electronica,Tienda de electrónica,http://www.facebook.com/roqui.electronica,Gral. Rodríguez 1316,+54 249 457-3257,Tandil,Provincia de Buenos Aires,-37.3178271,-59.1419635,4.3,2,https://lh3.googleusercontent.com/p/AF1QipMF8NwCP09W2XoBBglh0Q9gypo5wRkb3dLJwOkA=w426-h240-k-no,313.0,673,2025-05-28T23:28:48.649Z,"electronica, tienda"
RURALINK,Tienda de electrónica,http://ruralink.com.ar/,Av. Buzón 727,+54 249 430-2244,BWH,Provincia de Buenos Aires,-37.320178,-59.1182755,2.0,3,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yKxALe1Wyj-igBzbCQnq3g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=65.214355&pitch=0&thumbfov=100,1.0,52,2025-05-28T23:28:48.649Z,"electronica, tienda"
Escapes Daniel Celentano,Tienda de electrónica,,"399,, Primera Junta 299",+54 9 249 467-3486,Tandil,Provincia de Buenos Aires,-37.3198838,-59.1083577,4.7,4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr1xaD3m7IHvxT2MIEzIUdLHtAO7OwIwpk8JxknTF6ENnt0ZREUM-I4W6fSNyx9oc0ZKMyNYYemtxjMZq09Tm6UbtvI-WQ-TX0L4fcdzDDqWI9DhVQhVrHzqMV-QavN-2w21GIquQ=w408-h544-k-no,3.0,48,2025-05-28T23:28:48.650Z,"electronica, tienda"
Mixer electronicos,Tienda de accesorios para móviles,,Darragueira 2216,+54 9 249 436-1450,Tandil,Provincia de Buenos Aires,-37.2989166,-59.1259842,4.2,5,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noDa8okz0oHvfPoZCM-aj5Q0DyoOZbyI5rDvNFNjPz_qG8pWN0wVLrisVJ3wie6ESfKe4nSzXCzqBIPguvLTRQN6s0J3IMxjmuokVwgZjZVTlaMT9QKqrKSujnPycYAbQ-LXcea=w408-h544-k-no,6.0,6,2025-05-28T23:28:48.650Z,"electronica, tienda"
Tiendas T,Tienda de herramientas,,Sarmiento 625,+54 249 462-3496,Tandil,Provincia de Buenos Aires,-37.3250748,-59.1369568,3.8,6,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq5bJ3NTN6iQaMMNkN04DPMR_6ZYwZyWRProCTvSKbcY3B6eGOzMATV1OQjTlO09pyjO_G3XQ0419WvAfWkRzFIleEsNqDz7kIJsIMHyJSm-flSF-E-QycajqrAdb6POarmPcWIIw=w425-h240-k-no,3.0,40,2025-05-28T23:28:48.650Z,"electronica, tienda"
Jupiter Electronica,Tienda de electrónica,,Garibaldi 907,,Tandil,Provincia de Buenos Aires,-37.3198516,-59.1349885,5.0,7,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ezE3MqoJIvx3Gcnn2fLECA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=151.31516&pitch=0&thumbfov=100,1.0,3,2025-05-28T23:28:48.650Z,"electronica, tienda"
LANG Tecnología,Tienda de informática,http://www.langtecnologia.com.ar/,Av. España 882,+54 249 443-8654,Tandil,Provincia de Buenos Aires,-37.3210096,-59.134876,4.5,8,https://lh3.googleusercontent.com/p/AF1QipOAU8ZVz83vWDTdT38x6moBe07-Vursk-lV5I5m=w408-h272-k-no,23.0,509,2025-05-28T23:28:48.650Z,"electronica, tienda"
Electromundo,Proveedor de equipos audiovisuales,http://www.facebook.com/electromundotandil,Av. España 955,+54 9 249 463-2603,Tandil,Provincia de Buenos Aires,-37.3209527,-59.1336502,4.9,9,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr7i1131Q4rpEz_VV6_kGEjYy_3i3KYMvudfMiyEkXHYHCv7FzIXslPFZ6e-km-pI9APYVu86C4QwdVliB1APknnAvQ3N1_i6X2Q9C7ndyPw23N6PSWoO_B1Kk16kLIVdCEzxFY=w408-h306-k-no,11.0,36,2025-05-28T23:28:48.650Z,"electronica, tienda"
Link Computacion,Tienda de informática,https://linkcomputacion.empretienda.com.ar/,San Martín 1459,+54 249 452-8686,Tandil,Provincia de Buenos Aires,-37.3216041,-59.1238596,4.4,10,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqTYGUAxJLKPqJKflfw06MhF333aZeg2Yxiihe9-eyXWHc7pJDceyZd-u6EmCm2oJqKi9b3JV4G_WS5tTj9PnjI1VxzoWOtKIaK9jINMTL-5jAwb3k2IIDnoe3CJkwQW1nL2I_M=w426-h240-k-no,333.0,105,2025-05-28T23:28:48.651Z,"electronica, tienda"
