title,categoryName,website,street,phone,city,state,location/lat,location/lng,totalScore,rank,imageUrl,imagesCount,reviewsCount,scrapedAt,searchString
EL BAQUEANO TANDIL,Tienda de delicatessen,http://www.elbaqueanotandil.com/,"1381, Tasende",,Tandil,Provincia de Buenos Aires,-37.3509083,-59.170069,4.8,8,https://lh3.googleusercontent.com/p/AF1QipP2-lzPSQGfKEB-nGTcYc5gwwOznhVxwuD5N-0=w426-h240-k-no,686.0,1408,2025-05-04T16:08:15.927Z,Comercio
Alquimia Artesanías,Tienda de artesanías,https://www.facebook.com/alquimia.artesanias.tandil,Icalma y Tasende Acceso Cerro El Centinela,,Tandil,Provincia de Buenos Aires,-37.3558333,-59.1722222,4.5,9,https://lh3.googleusercontent.com/p/AF1QipPXrhqd3el5t1Zy0kCGrI5036hQgo1Z10Ir06kG=w408-h272-k-no,40.0,43,2025-05-04T16:08:15.927Z,Comercio
mercado Jorge,Tienda de alimentación,,Sandino 468,+54 249 444-3579,Tandil,Provincia de Buenos Aires,-37.3380404,-59.1261145,4.5,10,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rSGMGo-ywHkDXrBdaTN2LA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=68.29262&pitch=0&thumbfov=100,1.0,13,2025-05-04T16:08:15.927Z,Comercio
"Vale la Pena ""Almacén""",Tienda de alimentación,,Av. Estrada 468,,Tandil,Provincia de Buenos Aires,-37.3394896,-59.1475034,4.6,11,https://lh3.googleusercontent.com/p/AF1QipPz_6LEDOJTTtU3hOwsqUuvrlQsWxjiDEQfJiBZ=w408-h725-k-no,3.0,17,2025-05-04T16:08:15.927Z,Comercio
Sec Tandil - Sociedad Emp de Comercio Tandil,Sindicato,http://www.sectandil.org.ar/,San Martín 785,,Tandil,Provincia de Buenos Aires,-37.3254577,-59.1340935,1.0,12,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=maz7Q6vXfTynCdzhY6x9WQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=149.7049&pitch=0&thumbfov=100,1.0,2,2025-05-04T16:08:15.927Z,Comercio
Mercado Artesanal,Mercado,,Paseo Lago del Fuerte,,Tandil,Provincia de Buenos Aires,-37.350459,-59.131085,4.1,13,https://lh3.googleusercontent.com/p/AF1QipPNs5yz3c774eSvM_gwINNTtEYVND7DdYtD_MLH=w426-h240-k-no,1288.0,3117,2025-05-04T16:08:15.927Z,Comercio
Almacen Emanuel,Tienda de alimentación,,Av. Alvear 147,+54 249 442-1569,Tandil,Provincia de Buenos Aires,-37.3355053,-59.1319382,2.0,15,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8d8eQ1IQw3iM4-LhAdTyiA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=59.244385&pitch=0&thumbfov=100,1.0,1,2025-05-04T16:08:15.927Z,Comercio
Los Criollos - Cuchillería Artesanal de Tandil,Cuchillería,,Dr. Saavedra Lamas 7000,+54 249 462-4521,Tandil,Provincia de Buenos Aires,-37.350421,-59.1310493,4.0,16,https://lh3.googleusercontent.com/p/AF1QipNON4U4aDpBOvPsZ8KlaV5gL9Aq6xhcjkc7Kc39=w408-h806-k-no,18.0,2,2025-05-04T16:08:15.927Z,Comercio
Almacén Alicia,Supermercado,,Chacabuco 9,,Tandil,Provincia de Buenos Aires,-37.3343563,-59.1348529,4.4,17,https://lh3.googleusercontent.com/p/AF1QipMnKaTZfO_bSDOGsP7CNvksOGsB3MPoQ4k8RrrU=w408-h305-k-no,2.0,7,2025-05-04T16:08:15.927Z,Comercio
DANIELA MARIANO,Tienda de alimentación,,,,Tandil,Provincia de Buenos Aires,-37.3415909,-59.183481,4.5,18,,,2,2025-05-04T16:08:15.927Z,Comercio
Almacén Serrano,Tienda de fiambres,https://www.pedidosya.com.ar/restaurantes/tandil/almacen-serrano-menu?origin=shop_list,"Gral Rodríguez 2, Av. Avellaneda 598",+54 249 401-1491,Tandil,Provincia de Buenos Aires,-37.3334755,-59.1326357,4.6,19,https://lh3.googleusercontent.com/p/AF1QipNyALYmsEu0_KNlDhCCxcydijof6OT6x8FvkScH=w408-h306-k-no,96.0,890,2025-05-04T16:08:15.927Z,Comercio
Soto Luis alejandro,Comercio,,25 de Mayo 305,,Tandil,Provincia de Buenos Aires,-37.3328002,-59.1375674,,20,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9kxa2LQSe20C10Pi00Q2bA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=129.82785&pitch=0&thumbfov=100,1.0,0,2025-05-04T16:08:15.927Z,Comercio
Alma de Pueblo - Regionales,Comercio,,Larrea 580,+54 249 448-5543,Tandil,Provincia de Buenos Aires,-37.3406436,-59.1286026,4.6,2,https://lh3.googleusercontent.com/p/AF1QipMt_LCgK33TG4IkLvxBNstxZqA52dG2Kb7-R23B=w408-h306-k-no,10.0,24,2025-05-04T16:08:15.799Z,Comercio
Erasmo,Comercio,,,,Tandil,Provincia de Buenos Aires,-37.339663,-59.1293655,4.6,3,https://lh3.googleusercontent.com/p/AF1QipPgd4fGzDaBCsgo7AjZ2YtWs3K1pCAVd72N7-kk=w408-h725-k-no,3.0,7,2025-05-04T16:08:15.799Z,Comercio
Comercio,Tienda de herramientas,,Av. Marconi 1401,,Tandil,Provincia de Buenos Aires,-37.3164424,-59.1221675,5.0,4,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=foM98y_7XpsViEwsE0ZBrw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=123.85765&pitch=0&thumbfov=100,1.0,4,2025-05-04T16:08:15.799Z,Comercio
LAS DINAS Venta al público,Tienda de alimentación,,Francia,,Buenos Aires,Provincia de Buenos Aires,-37.3675345,-59.1324132,4.5,5,https://lh3.googleusercontent.com/p/AF1QipNvK89WebIFdgte29IHRxaBjS41bcTnQdokfNlb=w408-h306-k-no,279.0,487,2025-05-04T16:08:15.799Z,Comercio
Parque de La Industria y El Comercio,Parque,,Larrea,,Tandil,Provincia de Buenos Aires,-37.3423577,-59.1302617,4.6,6,https://lh3.googleusercontent.com/p/AF1QipPF1Y7qiyWPYrH4z25BZQ5lav-xDtSn7P8MkBeH=w408-h306-k-no,104.0,35,2025-05-04T16:08:15.799Z,Comercio
Mercado Arcoiris,Tienda de alimentación,http://mercadoarcoiristandil.com/,Av. Estrada,+54 249 450-1376,Tandil,Provincia de Buenos Aires,-37.3389598,-59.1461998,4.5,7,https://lh3.googleusercontent.com/p/AF1QipMb5yTmFvziKTtoTUZohmxjWXZfUkx73Q6Mf0wH=w426-h240-k-no,67.0,108,2025-05-04T16:08:15.799Z,Comercio
Epicureo regionales,Tienda de fiambres,,Av. Don Bosco 802,,Tandil,Provincia de Buenos Aires,-37.3535699,-59.1300836,4.5,8,https://lh3.googleusercontent.com/p/AF1QipMDgE9DtQPTJYexE9jJxNcZLu5SFr52gULhAkA6=w408-h544-k-no,25.0,24,2025-05-04T16:08:15.800Z,Comercio
Delicias Tatuli . kiosco y Almacén,Tienda general,,C. Ecuador 1511,,Tandil,Provincia de Buenos Aires,-37.3646254,-59.1149348,5.0,9,https://lh3.googleusercontent.com/p/AF1QipPjS_RtRbYN-MC9eNhFtFaCDSrc3dNNn7382rdl=w408-h725-k-no,20.0,4,2025-05-04T16:08:15.800Z,Comercio
GEMY polirubro pagofacil pago,Comercio,https://www.facebook.com/GemyPolirubro/,Tacuarí 562,,Tandil,Provincia de Buenos Aires,-37.3346004,-59.1134752,4.7,10,https://lh3.googleusercontent.com/p/AF1QipNT3jRTeyCXGal57DyKm9luZAVzSJUy0-bymDjk=w648-h240-k-no,3.0,63,2025-05-04T16:08:15.800Z,Comercio
"Consultora Natura, Biogreen, Just, Bagués",Comercio,https://www.facebook.com/biogreenentandil?mibextid=ZbWKwL,Basilico 875,+54 249 453-1475,Tandil,Provincia de Buenos Aires,-37.3056881,-59.133793,5.0,2,https://lh3.googleusercontent.com/p/AF1QipNTl0fSng0b8uFQINn92rRzDaXSuVgeCAqkxOpo=w408-h408-k-no,3.0,15,2025-05-04T16:08:17.580Z,Comercio
Estilo Exterior Tandil,Comercio,,Beiró 671,+54 249 433-2240,Tandil,Provincia de Buenos Aires,-37.3029054,-59.138971,,3,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BZxV7AUD9wj3uLdT9wkfjw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=40.88847&pitch=0&thumbfov=100,1.0,0,2025-05-04T16:08:17.581Z,Comercio
El Regional,Comercio,,Dinamarca 1311,+54 249 443-3397,Tandil,Provincia de Buenos Aires,-37.2998552,-59.1311823,,4,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gHBLzizInHTSzzrb2Gwt3g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=131.38228&pitch=0&thumbfov=100,1.0,0,2025-05-04T16:08:17.581Z,Comercio
100%Argentino,Comercio,http://www.100arg.com/,Primera Junta 3055,+54 249 444-0813,Tandil,Provincia de Buenos Aires,-37.2948573,-59.1400343,,5,,,0,2025-05-04T16:08:17.581Z,Comercio
Zona Norte...botas de goma face,Comercio,,,,Tandil,Provincia de Buenos Aires,-37.2984882,-59.1399408,5.0,6,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LJGzV_U6hUZJ25bq9DwLRg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=36.813545&pitch=0&thumbfov=100,1.0,2,2025-05-04T16:08:17.581Z,Comercio
