title,categoryName,website,street,phone,city,state,location/lat,location/lng,totalScore,rank,imageUrl,imagesCount,reviewsCount,scrapedAt,searchString
Springwall | Tandil,Colchonería,https://www.springwall.com.ar/,Av. Avellaneda 1310,+54 9 249 468-8170,Tandil,Provincia de Buenos Aires,-37.3294269,-59.1218751,4.9,19,https://lh3.googleusercontent.com/p/AF1QipMWiHeH_d437oAu-S_G9qLPZke1dGIZ881sjTc=w408-h272-k-no,6.0,35,2025-06-15T23:38:00.068Z,blanqueria
Hanna Boutique,Tienda de ropa,,9 de Julio 246,,Tandil,Provincia de Buenos Aires,-37.3302719,-59.1329352,4.8,13,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr4DO5RDpDOe84q_gfQxWUmie1aar3x9qZZFkTJSxIQr7Sw4yIJgf6mXp85HeDNs9pjU3_nL_rK9W_ZZ8ROQ1Lbivd-kPD5Z36fWkba2mrVBF9RDxA7pMjMqZBsCSwOqWI0EXbAGQ=w408-h306-k-no,2.0,6,2025-06-15T23:38:00.068Z,blanqueria
DecoRA Tandil,Tienda de cortinas,https://sites.google.com/view/decoratandil,Mitre 855,+54 249 459-7566,Tandil,Provincia de Buenos Aires,-37.3227065,-59.1341921,4.1,11,https://lh3.googleusercontent.com/p/AF1QipN6S7Z5ZfzbtVl8AApvdzu_UjKfvw7i7HOOH_dM=w408-h306-k-no,29.0,12,2025-06-15T23:38:00.067Z,blanqueria
Nube,Tienda de ropa para bebés,,Quintana 565,+54 249 442-4159,Tandil,Provincia de Buenos Aires,-37.307663,-59.142191,3.8,10,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEkzi13_3LBjbi-d4Jz-tt1knZ4WHBYntWVL7zQ1_7sqPqZTZH5XfIcnfhQKvVhkDG8eAr1rGFx2FTu1CEDsX_VQh1IVOl2WdFQT2NiZVJjfV6W1raRbGfMTpXsiaGy8Uc6MCkvjEj7k4ffE5hui53o-t_o3QUIIN06S8kDQx1YXXdwDycTB7ZyxU-3oFE2sjPK1w=w408-h306-k-no,2.0,4,2025-06-15T23:38:00.067Z,blanqueria
Sweet Dreams Colchoneria y Blanqueria,Colchonería,,Honduras 1182,+54 249 461-6601,Tandil,Provincia de Buenos Aires,-37.3075167,-59.1252323,5.0,9,https://lh3.googleusercontent.com/p/AF1QipMGuA2BXhbUDTEcOB-aq4w04rTJsKcMLP_AY4ZP=w408-h306-k-no,19.0,7,2025-06-15T23:38:00.067Z,blanqueria
Tatas Home,Colchonería,https://www.tatashome.com.ar/,Bartolomé Mitre 577,+54 249 442-8405,Tandil,Provincia de Buenos Aires,-37.3242568,-59.1384785,4.3,12,https://lh3.googleusercontent.com/p/AF1QipNQehLRvI8wdzyMVKkL9Cr_LHhTCyTGzkcqqdEz=w408-h344-k-no,9.0,24,2025-06-15T23:38:00.068Z,blanqueria
Blanco del Once,Tienda de ropa,,Sarmiento 660,+54 249 424-1355,Tandil,Provincia de Buenos Aires,-37.3247437,-59.1365046,5.0,7,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mEvZzKc8BLW6ZOu2RciLUw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=1.0477867&pitch=0&thumbfov=100,1.0,1,2025-06-15T23:38:00.067Z,blanqueria
Arredo,Tienda de ropa de hogar,https://www.arredo.com.ar/,San Martín 888,+54 249 464-6155,Tandil,Provincia de Buenos Aires,-37.3247737,-59.1328227,4.1,8,https://lh3.googleusercontent.com/p/AF1QipMLlB15_Ti5D7guaqrTIeo6HGuUl4ir2ORY8hUS=w408-h258-k-no,10.0,144,2025-06-15T23:38:00.067Z,blanqueria
Blanqueria Tandil,Tienda de ropa de cama,http://blanqueriatandil.mitiendanube.com/,Av. Avellaneda 1348,+54 249 431-2882,Tandil,Provincia de Buenos Aires,-37.3292803,-59.1212853,4.8,4,https://lh3.googleusercontent.com/p/AF1QipOx557EdPxEzWhnKK4n-qajeCSm65Us9J928ZiB=w408-h367-k-no,41.0,13,2025-06-15T23:38:00.066Z,blanqueria
Don Blanc,Tienda de ropa,,Kramer 273,+54 249 458-2858,Tandil,Provincia de Buenos Aires,-37.3098724,-59.1552637,5.0,2,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BgLsdlUdxmdlbbu69OBtbg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=321.22772&pitch=0&thumbfov=100,1.0,1,2025-06-15T23:38:00.066Z,blanqueria
